"release_year","Genre","n"
1983,"Action",1
1983,"Adventure",1
1983,"Casual",1
1984,"Action",1
1984,"Adventure",1
1984,"Casual",2
1984,"Indie",1
1985,"Simulation",1
1986,"Adventure",1
1986,"Casual",1
1986,"Indie",1
1986,"RPG",1
1986,"Simulation",1
1987,"Adventure",3
1987,"Simulation",2
1988,"Action",1
1988,"Adventure",3
1988,"Indie",1
1988,"RPG",1
1988,"Simulation",1
1988,"Strategy",2
1989,"Action",1
1989,"Adventure",3
1989,"RPG",1
1989,"Simulation",2
1990,"Action",2
1990,"Adventure",4
1990,"RPG",1
1990,"Simulation",4
1990,"Strategy",1
1991,"Action",4
1991,"Adventure",5
1991,"Casual",1
1991,"RPG",1
1991,"Simulation",1
1991,"Strategy",3
1992,"Action",3
1992,"Adventure",4
1992,"Casual",1
1992,"Indie",1
1992,"RPG",2
1992,"Simulation",2
1992,"Strategy",2
1993,"Action",9
1993,"Adventure",12
1993,"Casual",2
1993,"RPG",2
1993,"Simulation",3
1993,"Strategy",3
1994,"Action",14
1994,"Adventure",12
1994,"Casual",2
1994,"Indie",1
1994,"RPG",1
1994,"Racing",1
1994,"Simulation",6
1994,"Strategy",3
1995,"Action",13
1995,"Adventure",10
1995,"Casual",5
1995,"Indie",1
1995,"RPG",2
1995,"Racing",2
1995,"Simulation",3
1995,"Sports",2
1995,"Strategy",7
1996,"Action",14
1996,"Adventure",17
1996,"Casual",7
1996,"Free to Play",2
1996,"Indie",4
1996,"Massively Multiplayer",1
1996,"RPG",3
1996,"Racing",2
1996,"Simulation",4
1996,"Strategy",5
1997,"Action",15
1997,"Adventure",15
1997,"Casual",8
1997,"Indie",5
1997,"RPG",5
1997,"Racing",1
1997,"Simulation",2
1997,"Strategy",7
1998,"Action",20
1998,"Adventure",12
1998,"Casual",8
1998,"Indie",4
1998,"RPG",3
1998,"Racing",2
1998,"Simulation",6
1998,"Strategy",9
1999,"Action",26
1999,"Adventure",9
1999,"Casual",4
1999,"Early Access",1
1999,"Indie",2
1999,"Massively Multiplayer",1
1999,"RPG",10
1999,"Racing",4
1999,"Simulation",8
1999,"Sports",3
1999,"Strategy",16
2000,"Action",20
2000,"Adventure",10
2000,"Casual",4
2000,"Indie",2
2000,"RPG",6
2000,"Racing",1
2000,"Simulation",6
2000,"Strategy",9
2001,"Action",21
2001,"Adventure",14
2001,"Casual",7
2001,"Free to Play",3
2001,"Indie",6
2001,"Massively Multiplayer",2
2001,"RPG",9
2001,"Simulation",11
2001,"Strategy",18
2002,"Action",20
2002,"Adventure",7
2002,"Casual",5
2002,"Indie",4
2002,"RPG",5
2002,"Simulation",6
2002,"Sports",1
2002,"Strategy",18
2003,"Action",34
2003,"Adventure",22
2003,"Casual",5
2003,"Free to Play",3
2003,"Indie",10
2003,"Massively Multiplayer",2
2003,"RPG",12
2003,"Racing",1
2003,"Simulation",4
2003,"Strategy",27
2004,"Action",28
2004,"Adventure",12
2004,"Casual",9
2004,"Free to Play",1
2004,"Indie",7
2004,"RPG",6
2004,"Racing",1
2004,"Simulation",9
2004,"Strategy",21
2005,"Action",36
2005,"Adventure",16
2005,"Casual",12
2005,"Free to Play",3
2005,"Indie",11
2005,"Massively Multiplayer",2
2005,"RPG",16
2005,"Racing",5
2005,"Simulation",11
2005,"Sports",4
2005,"Strategy",24
2005,"Web Publishing",1
2006,"Action",30
2006,"Adventure",18
2006,"Casual",26
2006,"Free to Play",3
2006,"Indie",17
2006,"Massively Multiplayer",3
2006,"Photo Editing",1
2006,"RPG",9
2006,"Racing",7
2006,"Simulation",16
2006,"Strategy",43
2006,"Utilities",1
2006,"Video Production",1
2007,"Action",45
2007,"Adventure",24
2007,"Audio Production",1
2007,"Casual",33
2007,"Free to Play",8
2007,"Indie",30
2007,"Massively Multiplayer",3
2007,"RPG",17
2007,"Racing",6
2007,"Simulation",19
2007,"Strategy",31
2008,"Action",42
2008,"Adventure",43
2008,"Casual",43
2008,"Free to Play",6
2008,"Indie",44
2008,"Massively Multiplayer",6
2008,"RPG",24
2008,"Racing",12
2008,"Simulation",21
2008,"Sports",4
2008,"Strategy",29
2008,"Web Publishing",1
2009,"Action",72
2009,"Adventure",42
2009,"Animation & Modeling",1
2009,"Casual",52
2009,"Free to Play",4
2009,"Game Development",1
2009,"Indie",59
2009,"Massively Multiplayer",4
2009,"RPG",32
2009,"Racing",9
2009,"Simulation",60
2009,"Sports",6
2009,"Strategy",65
2009,"Utilities",1
2010,"Action",119
2010,"Adventure",73
2010,"Casual",56
2010,"Education",2
2010,"Free to Play",7
2010,"Indie",92
2010,"Massively Multiplayer",2
2010,"RPG",44
2010,"Racing",10
2010,"Simulation",48
2010,"Software Training",1
2010,"Sports",3
2010,"Strategy",84
2011,"Action",165
2011,"Adventure",77
2011,"Casual",81
2011,"Free to Play",9
2011,"Indie",154
2011,"Massively Multiplayer",8
2011,"RPG",72
2011,"Racing",14
2011,"Simulation",65
2011,"Sports",9
2011,"Strategy",131
2012,"Action",268
2012,"Adventure",145
2012,"Animation & Modeling",2
2012,"Casual",153
2012,"Design & Illustration",1
2012,"Early Access",1
2012,"Free to Play",32
2012,"Indie",232
2012,"Massively Multiplayer",17
2012,"RPG",92
2012,"Racing",22
2012,"Simulation",153
2012,"Sports",5
2012,"Strategy",179
2012,"Utilities",1
2012,"Web Publishing",1
2013,"Action",417
2013,"Adventure",231
2013,"Animation & Modeling",4
2013,"Audio Production",4
2013,"Casual",174
2013,"Design & Illustration",16
2013,"Early Access",4
2013,"Education",5
2013,"Free to Play",53
2013,"Indie",345
2013,"Massively Multiplayer",25
2013,"RPG",154
2013,"Racing",30
2013,"Simulation",222
2013,"Software Training",4
2013,"Sports",20
2013,"Strategy",277
2013,"Utilities",9
2013,"Video Production",3
2013,"Web Publishing",15
2014,"Action",706
2014,"Adventure",490
2014,"Animation & Modeling",14
2014,"Audio Production",4
2014,"Casual",494
2014,"Design & Illustration",40
2014,"Early Access",46
2014,"Education",10
2014,"Free to Play",109
2014,"Game Development",1
2014,"Indie",984
2014,"Massively Multiplayer",58
2014,"Photo Editing",3
2014,"RPG",415
2014,"Racing",63
2014,"Simulation",462
2014,"Software Training",11
2014,"Sports",67
2014,"Strategy",417
2014,"Utilities",22
2014,"Video Production",6
2014,"Web Publishing",26
2015,"Action",1364
2015,"Adventure",1035
2015,"Animation & Modeling",24
2015,"Audio Production",7
2015,"Casual",845
2015,"Design & Illustration",58
2015,"Early Access",128
2015,"Education",10
2015,"Free to Play",194
